UserID,Age,Gender,Daily_ScreenTime_Hours,SocialMedia_Min,Gaming_Min,Study_Min,Sleep_Hours,Device Type,Calls_Min,Messages_Sent,Battery_Drain_Percent,Record_Type,Total_Tracked_App_Min,Social_Ratio,Gaming_Ratio,Study_Ratio,Communication_Intensity,Sleep_Deficit,Usage_Intensity_Score,Usage_Level,Total_Tracked_Activity_Hours,User_Cluster,Cluster_Name
121,42,Male,10.49,204,173,17,6.0,Android,97,126,36,Synthetic_Expansion,394,0.518,0.439,0.043,139.0,2.0,84.0,High,8.183333333333334,1,Group B
122,27,Female,8.72,101,102,66,7.0,Android,14,235,34,Synthetic_Expansion,269,0.375,0.379,0.245,92.3,1.0,66.0,High,4.716666666666667,1,Group B
123,39,Male,4.1,26,136,294,8.2,Android,18,224,31,Synthetic_Expansion,456,0.057,0.298,0.645,92.7,0.0,44.1,Moderate,7.9,0,Group A
124,18,Male,9.98,76,59,209,9.2,Android,4,21,24,Synthetic_Expansion,344,0.221,0.172,0.608,11.0,0.0,55.4,Moderate,5.8,2,Group C
125,18,Male,5.25,199,137,261,9.0,Android,113,108,29,Synthetic_Expansion,597,0.333,0.229,0.437,149.0,0.0,58.5,High,11.833333333333334,3,Group D
126,24,Female,10.24,130,164,141,9.7,iPhone,88,176,27,Synthetic_Expansion,435,0.299,0.377,0.324,146.7,0.0,75.5,High,8.716666666666667,3,Group D
127,33,Female,8.89,120,59,96,4.3,Android,97,25,32,Synthetic_Expansion,275,0.436,0.215,0.349,105.3,3.7,57.1,Moderate,6.2,2,Group C
128,37,Female,10.79,20,102,154,6.1,Android,106,62,7,Synthetic_Expansion,276,0.072,0.37,0.558,126.7,1.9,54.4,Moderate,6.366666666666666,3,Group D
129,39,Male,3.72,28,97,236,4.6,Android,118,51,33,Synthetic_Expansion,361,0.078,0.269,0.654,135.0,3.4,34.3,Moderate,7.983333333333333,0,Group A
130,18,Male,8.26,117,36,293,5.6,Android,20,248,38,Synthetic_Expansion,446,0.262,0.081,0.657,102.7,2.4,61.5,High,7.766666666666667,2,Group C
131,40,Female,3.4,128,27,155,4.0,Android,29,136,37,Synthetic_Expansion,310,0.413,0.087,0.5,74.3,4.0,39.5,Moderate,5.65,0,Group A
132,27,Female,11.01,197,132,47,9.9,iPhone,25,304,36,Synthetic_Expansion,376,0.524,0.351,0.125,126.3,0.0,87.8,High,6.683333333333334,3,Group D
133,38,Female,8.31,18,69,244,8.8,Android,3,119,6,Synthetic_Expansion,331,0.054,0.208,0.737,42.7,0.0,43.9,Moderate,5.566666666666666,0,Group A
134,34,Male,2.19,222,170,37,7.4,Android,46,202,11,Synthetic_Expansion,429,0.517,0.396,0.086,113.3,0.6,50.4,Moderate,7.916666666666667,1,Group B
135,35,Male,2.74,26,146,70,6.5,Android,23,300,26,Synthetic_Expansion,242,0.107,0.603,0.289,123.0,1.5,41.1,Moderate,4.416666666666667,1,Group B
136,32,Female,8.28,232,124,170,8.6,Android,1,32,23,Synthetic_Expansion,526,0.441,0.236,0.323,11.7,0.0,67.5,High,8.783333333333333,3,Group D
137,27,Female,8.12,107,102,96,7.4,iPhone,2,179,5,Synthetic_Expansion,305,0.351,0.334,0.315,61.7,0.6,55.1,Moderate,5.116666666666666,1,Group B
138,34,Male,2.31,61,157,141,4.4,iPhone,39,31,8,Synthetic_Expansion,359,0.17,0.437,0.393,49.3,3.6,29.9,Low,6.633333333333334,0,Group A
139,29,Male,10.29,177,154,124,6.1,iPhone,12,143,11,Synthetic_Expansion,455,0.389,0.338,0.273,59.7,1.9,73.7,High,7.783333333333333,3,Group D
140,20,Male,4.96,72,176,58,8.5,iPhone,3,144,10,Synthetic_Expansion,306,0.235,0.575,0.19,51.0,0.0,46.6,Moderate,5.15,1,Group B
141,39,Female,5.59,122,82,0,4.4,iPhone,48,159,35,Synthetic_Expansion,204,0.598,0.402,0.0,101.0,3.6,52.0,Moderate,4.2,1,Group B
142,24,Female,7.44,17,166,55,8.2,Android,98,133,14,Synthetic_Expansion,238,0.071,0.697,0.231,142.3,0.0,51.1,Moderate,5.6,1,Group B
143,31,Male,8.1,113,55,206,7.7,iPhone,60,44,32,Synthetic_Expansion,374,0.302,0.147,0.551,74.7,0.3,53.8,Moderate,7.233333333333333,2,Group C
144,19,Female,9.33,160,12,139,6.8,iPhone,77,154,7,Synthetic_Expansion,311,0.514,0.039,0.447,128.3,1.2,56.2,Moderate,6.466666666666667,2,Group C
145,42,Male,9.03,54,41,142,6.7,iPhone,32,221,6,Synthetic_Expansion,237,0.228,0.173,0.599,105.7,1.3,50.6,Moderate,4.483333333333333,2,Group C
146,18,Male,1.88,69,175,281,7.6,iPhone,14,191,29,Synthetic_Expansion,525,0.131,0.333,0.535,77.7,0.4,41.0,Moderate,8.983333333333333,0,Group A
147,18,Female,5.51,222,64,75,6.4,Android,62,93,30,Synthetic_Expansion,361,0.615,0.177,0.208,93.0,1.6,55.1,Moderate,7.05,1,Group B
148,38,Male,11.27,112,76,263,6.1,Android,2,170,34,Synthetic_Expansion,451,0.248,0.169,0.583,58.7,1.9,72.1,High,7.55,3,Group D
149,33,Male,5.59,29,94,244,4.5,Android,58,125,18,Synthetic_Expansion,367,0.079,0.256,0.665,99.7,3.5,39.9,Moderate,7.083333333333333,0,Group A
150,35,Female,6.78,128,14,10,7.3,Android,30,292,37,Synthetic_Expansion,152,0.842,0.092,0.066,127.3,0.7,56.2,Moderate,3.033333333333333,2,Group C
151,43,Female,4.0,174,146,138,5.1,iPhone,105,168,29,Synthetic_Expansion,458,0.38,0.319,0.301,161.0,2.9,54.5,Moderate,9.383333333333333,1,Group B
152,18,Male,8.76,110,116,231,7.9,iPhone,65,286,19,Synthetic_Expansion,457,0.241,0.254,0.505,160.3,0.1,66.0,High,8.7,3,Group D
153,18,Female,9.69,107,7,56,7.1,Android,42,8,27,Synthetic_Expansion,170,0.629,0.041,0.329,44.7,0.9,52.9,Moderate,3.533333333333333,2,Group C
154,40,Female,6.79,107,175,158,8.3,Android,3,295,28,Synthetic_Expansion,440,0.243,0.398,0.359,101.3,0.0,65.8,High,7.383333333333334,3,Group D
155,44,Female,5.01,12,137,36,6.9,iPhone,101,125,27,Synthetic_Expansion,185,0.065,0.741,0.195,142.7,1.1,42.1,Moderate,4.766666666666667,1,Group B
156,36,Female,5.19,64,147,233,9.4,iPhone,36,11,21,Synthetic_Expansion,444,0.144,0.331,0.525,39.7,0.0,42.7,Moderate,8.0,0,Group A
157,20,Male,5.54,57,94,70,4.8,Android,109,53,31,Synthetic_Expansion,221,0.258,0.425,0.317,126.7,3.2,42.9,Moderate,5.5,1,Group B
158,40,Female,8.66,159,88,237,9.4,iPhone,63,10,14,Synthetic_Expansion,484,0.329,0.182,0.49,66.3,0.0,56.9,Moderate,9.116666666666667,3,Group D
159,37,Male,5.02,232,89,120,8.5,iPhone,36,193,32,Synthetic_Expansion,441,0.526,0.202,0.272,100.3,0.0,60.0,High,7.95,1,Group B
160,18,Female,3.92,161,90,286,4.8,iPhone,2,229,31,Synthetic_Expansion,537,0.3,0.168,0.533,78.3,3.2,51.0,Moderate,8.983333333333333,0,Group A
161,24,Female,9.32,176,81,63,6.6,iPhone,86,26,28,Synthetic_Expansion,320,0.55,0.253,0.197,94.7,1.4,64.2,High,6.766666666666667,2,Group C
162,26,Female,9.76,151,74,229,5.1,Android,41,34,22,Synthetic_Expansion,454,0.333,0.163,0.504,52.3,2.9,62.0,High,8.25,3,Group D
163,37,Female,5.31,141,104,281,6.2,Android,0,56,9,Synthetic_Expansion,526,0.268,0.198,0.534,18.7,1.8,44.4,Moderate,8.766666666666667,0,Group A
164,18,Female,8.59,227,156,192,9.7,Android,10,44,33,Synthetic_Expansion,575,0.395,0.271,0.334,24.7,0.0,73.8,High,9.75,3,Group D
165,18,Female,5.42,192,128,142,4.5,Android,59,291,26,Synthetic_Expansion,462,0.416,0.277,0.307,156.0,3.5,63.2,High,8.683333333333334,1,Group B
166,20,Male,3.31,70,134,177,5.0,Android,0,233,13,Synthetic_Expansion,381,0.184,0.352,0.465,77.7,3.0,40.4,Moderate,6.35,0,Group A
167,36,Male,4.74,53,150,282,7.7,Android,50,184,8,Synthetic_Expansion,485,0.109,0.309,0.581,111.3,0.3,42.8,Moderate,8.916666666666666,0,Group A
168,18,Male,1.71,230,169,167,7.3,Android,3,180,36,Synthetic_Expansion,566,0.406,0.299,0.295,63.0,0.7,54.7,Moderate,9.483333333333333,1,Group B
169,33,Male,3.35,15,154,156,4.4,iPhone,25,47,24,Synthetic_Expansion,325,0.046,0.474,0.48,40.7,3.6,34.2,Moderate,5.833333333333333,0,Group A
170,33,Male,4.27,176,90,231,6.2,Android,118,76,14,Synthetic_Expansion,497,0.354,0.181,0.465,143.3,1.8,44.2,Moderate,10.25,0,Group A
171,18,Female,6.85,43,114,8,7.1,iPhone,6,159,33,Synthetic_Expansion,165,0.261,0.691,0.048,59.0,0.9,52.3,Moderate,2.85,1,Group B
172,44,Male,2.59,95,51,14,4.8,iPhone,100,87,38,Synthetic_Expansion,160,0.594,0.319,0.088,129.0,3.2,34.3,Moderate,4.333333333333333,1,Group B
